序号,功能模块（选填）,用户类型（选填）,埋点截图,埋点触发时机,埋点是否新增（选填）,event,埋点描述,本需求上报时机（选填）,pram新增说明（选填）,param名称,param描述,param类型,是否必传,param取值,开发备注（选填）,截图备注（选填）,开发owner（选填）,埋点变更内容,是否新增上报场景,埋点类型,成本业务线,管理业务线,标签（逗号分隔）,属性模板,场景描述,场景标定条件
1,Chat,,,enter,新增埋点,chat.message.sent,聊天消息提交,,新增参数,sessionId,Chat 会话标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,用户消息通过阻断检查并进入执行态,
1,Chat,,,enter,新增埋点,chat.message.sent,聊天消息提交,,新增参数,provider,Provider 标识,string,TRUE,anthropic: Anthropic；external: 外部 Agent；unknown: 未解析,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,用户消息通过阻断检查并进入执行态,
1,Chat,,,enter,新增埋点,chat.message.sent,聊天消息提交,,新增参数,surface,执行表面,string,TRUE,chat: 内置聊天,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,用户消息通过阻断检查并进入执行态,
2,Chat,,,result,新增埋点,chat.turn.completed,聊天回合成功,,新增参数,sessionId,Chat 会话标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,首个成功终态,
2,Chat,,,result,新增埋点,chat.turn.completed,聊天回合成功,,新增参数,provider,Provider 标识,string,TRUE,provider id,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,首个成功终态,
2,Chat,,,result,新增埋点,chat.turn.completed,聊天回合成功,,新增参数,surface,执行表面,string,TRUE,chat: 内置聊天,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,首个成功终态,
2,Chat,,,result,新增埋点,chat.turn.completed,聊天回合成功,,新增参数,durationMs,回合耗时毫秒,integer,FALSE,大于等于 0,代码类型 number；需实流验证为整数,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,首个成功终态,
3,Chat,,,result,新增埋点,chat.turn.failed,聊天回合失败,,新增参数,sessionId,Chat 会话标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,永久失败且未进入 fallback,
3,Chat,,,result,新增埋点,chat.turn.failed,聊天回合失败,,新增参数,provider,Provider 标识,string,FALSE,provider id,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,永久失败且未进入 fallback,
3,Chat,,,result,新增埋点,chat.turn.failed,聊天回合失败,,新增参数,surface,执行表面,string,TRUE,chat: 内置聊天,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,永久失败且未进入 fallback,
3,Chat,,,result,新增埋点,chat.turn.failed,聊天回合失败,,新增参数,errorType,不含正文的错误分类,string,FALSE,http_429: HTTP 429；provider_error: Provider 错误,OTel Logs；不发送错误消息,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,永久失败且未进入 fallback,
3,Chat,,,result,新增埋点,chat.turn.failed,聊天回合失败,,新增参数,durationMs,回合耗时毫秒,integer,FALSE,大于等于 0,代码类型 number；需实流验证为整数,,,新增 OTel 行为事件,是,行为埋点,,,Chat,,永久失败且未进入 fallback,
4,Workflow,,,enter,新增埋点,workflow.run.started,工作流开始,,新增参数,runId,Workflow 运行标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Workflow,,durable run logger 写入 run_started,
4,Workflow,,,enter,新增埋点,workflow.run.started,工作流开始,,新增参数,trigger,触发类型,string,TRUE,trigger.manual: 手动；trigger.schedule: 定时,动态枚举需按产品范围补齐,,,新增 OTel 行为事件,是,行为埋点,,,Workflow,,durable run logger 写入 run_started,
5,Workflow,,,result,新增埋点,workflow.run.completed,工作流成功,,新增参数,runId,Workflow 运行标识,string,TRUE,opaque ID,OTel Logs；ByteIO 草稿,,,新增 OTel 行为事件,是,行为埋点,,,Workflow,,durable run logger 写入 run_completed,
